region,Score
USA,5986
Russia,2512
Germany,1987
UK,1817
France,1693
Italy,1459
Sweden,1272
China,1257
Russia,1171
Germany,1068
Hungary,1022
Australia,995
Norway,967
Japan,937
Finland,911
Canada,887
Netherlands,790
Switzerland,684
South Korea,650
Austria,614
Romania,575
Poland,554
Germany,459
Cuba,435
Bulgaria,415
Denmark,391
Czech Republic,331
Belgium,321
Spain,303
Greece,292
Russia,287
New Zealand,241
Ukraine,240
Brazil,224
Turkey,202
Kenya,200
Serbia,171
South Africa,171
Belarus,169
Jamaica,152
Czech Republic,148
Kazakhstan,142
Argentina,141
Iran,125
Mexico,117
Ethiopia,106
North Korea,104
Croatia,90
Estonia,78
Azerbaijan,70
Slovakia,68
Slovenia,64
Ireland,62
Uzbekistan,61
Indonesia,56
Thailand,56
India,56
Georgia,54
Egypt,49
Latvia,47
Colombia,47
Lithuania,43
Morocco,40
Portugal,40
Mongolia,40
Nigeria,38
Taiwan,37
Algeria,31
Trinidad,30
Bahamas,28
Serbia,27
Armenia,25
Chile,24
Australia,22
Venezuela,22
Tunisia,22
Luxembourg,20
Pakistan,19
Malaysia,18
Zimbabwe,18
Serbia,17
Uruguay,16
Liechtenstein,15
Dominican Republic,15
Uganda,14
Puerto Rico,13
Philippines,13
Israel,12
Cameroon,12
Moldova,9
Peru,9
Vietnam,9
Namibia,8
Individual Olympic Athletes,8
Czech Republic,8
Tajikistan,7
Costa Rica,7
Lebanon,6
Iceland,6
Bahrain,6
Syria,6
China,6
Haiti,6
Ivory Coast,6
Qatar,6
Grenada,5
Panama,5
Ecuador,5
Burundi,5
Ghana,5
Tanzania,4
Sri Lanka,4
Suriname,4
Mozambique,4
Saudi Arabia,4
Kyrgyzstan,4
United Arab Emirates,4
Syria,3
Niger,3
Zambia,3
Nepal,3
Kosovo,3
Jordan,3
Fiji,3
Montenegro,2
Paraguay,2
Sudan,2
Trinidad,2
Tonga,2
Senegal,2
Afghanistan,2
Botswana,2
Kuwait,2
Curacao,2
Guatemala,2
"Virgin Islands, US",2
Gabon,2
Cyprus,2
Monaco,1
Eritrea,1
Mauritius,1
Togo,1
Djibouti,1
Iraq,1
Bermuda,1
Guyana,1
Macedonia,1
Barbados,1
Burkina Faso,0
Turkmenistan,0
Central African Republic,0
Timor-Leste,0
Maldives,0
Cambodia,0
Republic of Congo,0
Chad,0
Democratic Republic of the Congo,0
Swaziland,0
Cook Islands,0
Comoros,0
Cape Verde,0
Greece,0
Sao Tome and Principe,0
Cayman Islands,0
Bosnia and Herzegovina,0
Brunei,0
Antigua,0
Albania,0
Andorra,0
Yemen,0
Yemen,0
Yemen,0
Angola,0
Vietnam,0
Saint Vincent,0
Aruba,0
Boliva,0
Vanuatu,0
American Samoa,0
Bangladesh,0
Benin,0
,0
Bhutan,0
Belize,0
,0
South Sudan,0
Sierra Leone,0
Dominica,0
Lesotho,0
"Virgin Islands, British",0
Kiribati,0
Oman,0
Nauru,0
Laos,0
Liberia,0
Canada,0
Saint Lucia,0
Nicaragua,0
Palestine,0
Malaysia,0
Madagascar,0
Myanmar,0
Mauritania,0
Malaysia,0
Malawi,0
Malta,0
Mali,0
Honduras,0
Palau,0
Somalia,0
Samoa,0
Solomon Islands,0
San Marino,0
Marshall Islands,0
Saint Kitts,0
Singapore,0
Seychelles,0
El Salvador,0
Micronesia,0
Germany,0
Papua New Guinea,0
Rwanda,0
Gambia,0
Guinea-Bissau,0
,0
Zimbabwe,0
Equatorial Guinea,0
Guinea,0
Guam,0
Libya,0
