region,Bornes supérieures,Bornes inférieures
Algeria,2,2
Argentina,22,4
Armenia,4,4
Australia,82,29
Austria,2,1
Azerbaijan,18,18
Bahamas,6,2
Bahrain,2,2
Belarus,12,9
Belgium,21,6
Brazil,50,19
Bulgaria,7,3
Burundi,1,1
Canada,69,22
China,113,70
Colombia,8,8
Croatia,24,10
Cuba,11,11
Czech Republic,15,10
Denmark,41,15
Dominican Republic,1,1
Egypt,3,3
Estonia,4,1
Ethiopia,8,8
Fiji,13,1
Finland,1,1
France,96,42
Georgia,7,7
Germany,159,42
Greece,7,6
Grenada,1,1
Hungary,22,15
India,2,2
Individual Olympic Athletes,2,2
Indonesia,4,3
Iran,8,8
Ireland,3,2
Israel,2,2
Italy,72,28
Ivory Coast,2,2
Jamaica,30,11
Japan,64,41
Jordan,1,1
Kazakhstan,18,18
Kenya,13,13
Kosovo,1,1
Lithuania,7,4
Malaysia,8,5
Mexico,5,5
Mongolia,2,2
Morocco,1,1
Netherlands,47,19
New Zealand,36,18
Niger,1,1
Nigeria,18,1
North Korea,7,7
Norway,19,4
Philippines,1,1
Poland,16,11
Portugal,1,1
Puerto Rico,1,1
Qatar,1,1
Romania,16,4
Russia,115,56
Serbia,54,8
Slovakia,8,4
Slovenia,4,4
South Africa,23,10
South Korea,26,21
Spain,45,17
Sweden,28,11
Switzerland,11,7
Taiwan,5,3
Tajikistan,1,1
Thailand,6,6
Trinidad,1,1
Tunisia,3,3
Turkey,8,8
UK,145,67
USA,264,121
Ukraine,15,11
United Arab Emirates,1,1
Uzbekistan,13,13
Venezuela,3,3
Vietnam,2,2
